,0,1,2,3,4,5,6,7
0,Internet of Things,Technology,Ethics,,,,,
1,Apps,Technology,Tech,Apple,App Development,,,
2,Augmented Reality,Technology,Mobile,Apps,Android,,,
3,Human Resources,Future Of Work,Careers,Technology,Social Media,,,
4,Facebook,YouTube,Social Media,Media,Technology,,,
5,Physics,Design,Science,Visual Design,Technology,,,
6,Education,Digitalization,Leadership,Cio,Strategy,,,
7,Tech,Restaurant Pos System,Pos System,Point Of Sale,Merchants Services,,,
8,Education,Edtech,Edchat,Technology,Tech,,,
9,Climate Change,Environment,Politics,Technology,Green New Deal,,,
10,Journalism,Media,Technology,,,,,
11,Artificial Intelligence,Journalism,Technology,,,,,
12,Technology,Society,Future,,,,,
13,Education,Teaching,Innovation,Technology,Curiosity,,,
14,Privacy,Social Media,Technology,Government,Facebook,,,
15,Design,UX,Haptics,Interaction Design,Senses,,,
16,Women In Tech,Technology,Women,Facebook,,,,
17,Life Lessons,Health,Technology,Life,Work,,,
18,Virtual Reality,Silicon Valley,Meta,Augmented Reality,,,,
19,5g,Society,IoT,Cognitive Bias,Data,,,
20,Politics,Journalism,Technology,America,,,,
21,Technology,CES,Ces2019,,,,,
22,Technology,Connected Home,Elder Care,Design,Experience,,,
23,Hackathons,Women,Equality,Technology,Coding,,,
24,Aritificial Intelligence,Marketing,Business,Machine Learning,Technology,,,
25,Vaccines,Digital Health,Anti Vaccination,Health,,,,
26,Technology,Science,Philosophy,Nature,Education,,,
27,Gaming,Streaming,Technology,Games,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,Amazon Echo,Google Home,AI,Voice Assistant,Active Noise Cancellation,,,
32,AI,Technology,Jobs,Careers,Startup,,,
33,Running,Apps,Tech,Marathon,New York,,,
34,Prison Reform,Technology,Prison,Startup,,,,
35,Google,Linux,Firefox,Duckduckgo,Qwant,,,
36,Startup,Tech,History Of Technology,Canada,Canadian Tech,,,
37,Technology,Foxconn,Manufacturing,China,Apple,,,
38,Technology,Philosophy,Engineering,Industrial Revolution,Education,,,
39,Technology,Future Of Work,Jobs,Employment,Future,,,
40,Design,Technology,Tech,Startup,Internet,,,
41,Drones,AI,Technology,Future,Culture,,,
42,India Tech News,Information Technology,American Dream,Maple Valley,Japan,,,
43,Tech,5g,Internet,Wireless,,,,
44,Travel,Privilege,College,Millennials,Consumerism,,,
45,Artificial Intelligence,Machine Learning,Wearables,Privacy,,,,
46,Technology,Economics,Work,Inequality,,,,
47,Style,Technology,Social Media,Digital Life,,,,
48,,,,,,,,
49,Cybersecurity,Security,Hacking,Technology,Gadgets,,,
50,Grocery Shopping,Delivery,Technology,Business,Food,,,
51,Google,Protest,Equality,Sexual Harassment,Technology,,,
52,Racial Equity,Tech,Future Of Technology,Diversity And Inclusion,Community,,,
53,Amazon,Business,Technology,,,,,
54,Raspberry Pi,Microbit,Makers,,,,,
55,Technology,Tech,Facebook,Productivity,Culture,,,
56,Politics,Social Ratings,Social Credit,China,Artificial Intelligence,,,
